丁鲷	tench | Tinca tinca
宽边帽	sombrero
汤碗	soup bowl
空格键	space bar
空间加热器	space heater
航天飞机	space shuttle
锅铲	spatula
快艇	speedboat
蜘蛛网	spider web | spiders web
纺锤	spindle
跑车	sports car | sport car
聚光灯	spotlight | spot
舞台	stage
蒸汽机车	steam locomotive
钢拱桥	steel arch bridge
钢滚筒	steel drum
听诊器	stethoscope
女用披肩	stole
石头墙	stone wall
秒表	stopwatch | stop watch
火炉	stove
过滤器	strainer
有轨电车	streetcar | tram | tramcar | trolley | trolley car
担架	stretcher
沙发床	studio couch | day bed
佛塔	stupa | tope
潜水艇	submarine | pigboat | sub | U-boat
套装	suit | suit of clothes
日晷	sundial
太阳镜	sunglass
太阳镜	sunglasses | dark glasses | shades
防晒霜	sunscreen | sunblock | sun blocker
悬索桥	suspension bridge
拖把	swab | swob | mop
运动衫	sweatshirt
游泳裤	swimming trunks | bathing trunks
秋千	swing
开关	switch | electric switch | electrical switch
注射管	syringe
台灯	table lamp
坦克	tank | army tank | armored combat vehicle | armoured combat vehicle
录音机	tape player
茶壶	teapot
泰迪熊	teddy | teddy bear
电视	television | television system
网球	tennis ball
茅草	thatch | thatched roof
幕布	theater curtain | theatre curtain
顶针	thimble
打谷机	thresher | thrasher | threshing machine
王座	throne
瓦屋顶	tile roof
烤面包机	toaster
烟草店	tobacco shop | tobacconist shop | tobacconist
马桶	toilet seat
火炬	torch
图腾柱	totem pole
拖车	tow truck | tow car | wrecker
玩具店	toyshop
拖拉机	tractor
半挂式卡车	trailer truck | tractor trailer | trucking rig | rig | articulated lorry | semi
托盘	tray
风衣	trench coat
三轮车	tricycle | trike | velocipede
三体船	trimaran
三脚架	tripod
凯旋门	triumphal arch
无轨电车	trolleybus | trolley coach | trackless trolley
长号	trombone
浴盆	tub | vat
旋转式栅门	turnstile
打字机键盘	typewriter keyboard
雨伞	umbrella
独轮车	unicycle | monocycle
直立式钢琴	upright | upright piano
吸尘器	vacuum | vacuum cleaner
花瓶	vase
拱顶	vault
天鹅绒	velvet
自动售货机	vending machine
祭衣	vestment
高架桥	viaduct
小提琴	violin | fiddle
排球	volleyball
华夫烤盘	waffle iron
挂钟	wall clock
钱包	wallet | billfold | notecase | pocketbook
衣柜衣橱	wardrobe | closet | press
军用飞机	warplane | military plane
洗脸盆	washbasin | handbasin | washbowl | lavabo | wash-hand basin
洗衣机	washer | automatic washer | washing machine
水瓶	water bottle
水壶	water jug
水塔	water tower
威士忌壶	whiskey jug
哨子	whistle
假发	wig
纱窗	window screen
百叶窗	window shade
温莎领带	Windsor tie
葡萄酒瓶	wine bottle
机翼	wing
炒菜锅	wok
木勺子	wooden spoon
毛织品	wool | woolen | woollen
原木栅栏	worm fence | snake fence | snake-rail fence | Virginia fence
沉船	wreck
双桅船	yawl
蒙古包	yurt
网站	web site | website | internet site | site
漫画	comic book
纵横字谜	crossword puzzle | crossword
路标	street sign
交通信号灯	traffic light | traffic signal | stoplight
防尘罩	book jacket | dust cover | dust jacket | dust wrapper
菜单	menu
盘子	plate
牛油果酱	guacamole
清炖肉汤	consomme
火锅	hot pot | hotpot
果酱松糕	trifle
冰淇淋	ice cream | icecream
冰棍	ice lolly | lolly | lollipop | popsicle
法棍	French loaf
百吉饼	bagel | beigel
椒盐脆饼	pretzel
芝士汉堡	cheeseburger
热狗	hotdog | hot dog | red hot
土豆泥	mashed potato
卷心菜	head cabbage
西兰花	broccoli
花椰菜	cauliflower
西葫芦	zucchini | courgette
意面南瓜	spaghetti squash
绿色小南瓜	acorn squash
南瓜	butternut squash
黄瓜	cucumber | cuke
洋蓟	artichoke | globe artichoke
甜椒	bell pepper
刺棘蓟	cardoon
蘑菇	mushroom
澳洲青苹	Granny Smith
草莓	strawberry
橘子	orange
柠檬	lemon
无花果	fig
菠萝	pineapple | ananas
香蕉	banana
菠萝蜜	jackfruit | jak | jack
番荔枝	custard apple
石榴	pomegranate
干草	hay
培根蛋酱意大利面	carbonara
巧克力酱	chocolate sauce | chocolate syrup
面团	dough
肉卷	meat loaf | meatloaf
披萨	pizza | pizza pie
馅饼	potpie
卷饼	burrito
红葡萄酒	red wine
意式浓缩咖啡	espresso
茶杯	cup
蛋酒	eggnog
高山	alp
泡泡	bubble
悬崖	cliff | drop | drop-off
珊瑚礁	coral reef
间歇泉	geyser
湖边	lakeside | lakeshore
岬角	promontory | headland | head | foreland
沙洲	sandbar | sand bar
沙滩	seashore | coast | seacoast | sea-coast
峡谷	valley | vale
火山	volcano
棒球运动员	ballplayer | baseball player
新郎	groom | bridegroom
潜水员	scuba diver
油菜	rapeseed
雏菊	daisy
黄色杓兰	yellow ladys slipper | yellow lady-slipper | Cypripedium calceolus | Cypripedium parviflorum
玉米	corn
橡子	acorn
玫瑰果	hip | rose hip | rosehip
七叶树果实	buckeye | horse chestnut | conker
珊瑚菌	coral fungus
木耳	agaric
鹿花菌	gyromitra
臭角菇	stinkhorn | carrion fungus
地星	earthstar
野生舞茸	hen-of-the-woods | hen of the woods | Polyporus frondosus | Grifola frondosa
牛肝菌	bolete
玉米棒子	ear | spike | capitulum
卫生纸	toilet tissue | toilet paper | bathroom tissue
